snmp_mib;snmp_label;snmp_index;snmp_oid;snmp_datatype;keypart;name;units;units_factor;description
UPS-MIB;upsOutputCurrent;3;1.3.6.1.2.1.33.1.4.4.1.3.3;NonNegativeInteger;output.3.current;Output 3 Current;A;1/10;The present output current (RMS).
UPS-MIB;upsOutputPower;1;1.3.6.1.2.1.33.1.4.4.1.4.1;NonNegativeInteger;output.1.power;Output 1 Power;W;;The present output true power.
UPS-MIB;upsOutputPower;2;1.3.6.1.2.1.33.1.4.4.1.4.2;NonNegativeInteger;output.2.power;Output 2 Power;W;;The present output true power.
UPS-MIB;upsOutputPower;3;1.3.6.1.2.1.33.1.4.4.1.4.3;NonNegativeInteger;output.3.power;Output 3 Power;W;;The present output true power.
UPS-MIB;upsOutputPercentLoad;1;1.3.6.1.2.1.33.1.4.4.1.5.1;Integer32;output.1.load;Output 1 Load %;/;1/100;The percentage of the UPS power capacity presently being used on this output line, i.e., the greater of the percent load of true power capacity and the percent load of VA.
UPS-MIB;upsOutputPercentLoad;2;1.3.6.1.2.1.33.1.4.4.1.5.2;Integer32;output.2.load;Output 2 Load %;/;1/100;The percentage of the UPS power capacity presently being used on this output line, i.e., the greater of the percent load of true power capacity and the percent load of VA.
UPS-MIB;upsOutputPercentLoad;3;1.3.6.1.2.1.33.1.4.4.1.5.3;Integer32;output.3.load;Output 3 Load %;/;1/100;The percentage of the UPS power capacity presently being used on this output line, i.e., the greater of the percent load of true power capacity and the percent load of VA.
UPS-MIB;upsBypassFrequency;0;1.3.6.1.2.1.33.1.5.1.0;NonNegativeInteger;bypass.frequency;Bypass Frequency;Hz;1/10;The present bypass frequency.
UPS-MIB;upsBypassVoltage;1;1.3.6.1.2.1.33.1.5.3.1.2.1;NonNegativeInteger;bypass.1.voltage;Bypass 1 voltage;V;;The present bypass voltage (RMS).
UPS-MIB;upsBypassVoltage;2;1.3.6.1.2.1.33.1.5.3.1.2.2;NonNegativeInteger;bypass.2.voltage;Bypass 2 voltage;V;;The present bypass voltage (RMS).
UPS-MIB;upsBypassVoltage;3;1.3.6.1.2.1.33.1.5.3.1.2.3;NonNegativeInteger;bypass.3.voltage;Bypass 3 voltage;V;;The present bypass voltage (RMS).
UPS-MIB;upsBypassCurrent;1;1.3.6.1.2.1.33.1.5.3.1.3.1;NonNegativeInteger;bypass.1.current;Bypass 1 Current;A;1/10;The present bypass current (RMS).
UPS-MIB;upsBypassCurrent;2;1.3.6.1.2.1.33.1.5.3.1.3.2;NonNegativeInteger;bypass.2.current;Bypass 2 Current;A;1/10;The present bypass current (RMS).
UPS-MIB;upsBypassCurrent;3;1.3.6.1.2.1.33.1.5.3.1.3.3;NonNegativeInteger;bypass.3.current;Bypass 3 Current;A;1/10;The present bypass current (RMS).
UPS-MIB;upsBypassPower;1;1.3.6.1.2.1.33.1.5.3.1.4.1;NonNegativeInteger;bypass.1.power;Bypass 1 Power;W;;The present true power conveyed by the bypass.
UPS-MIB;upsBypassPower;2;1.3.6.1.2.1.33.1.5.3.1.4.2;NonNegativeInteger;bypass.2.power;Bypass 2 Power;W;;The present true power conveyed by the bypass.
UPS-MIB;upsBypassPower;3;1.3.6.1.2.1.33.1.5.3.1.4.3;NonNegativeInteger;bypass.3.power;Bypass 3 Power;W;;The present true power conveyed by the bypass.
UPS-MIB;upsBatteryStatus;0;1.3.6.1.2.1.33.1.2.1.0;Integer32;battery.status;Battery status;;;The indication of the capacity remaining in the UPS system's batteries. A value of batteryNormal indicates that the remaining run-time is greater than upsConfigLowBattTime. A value of batteryLow indicates that the remaining battery run-time is less than or equal to upsConfigLowBattTime. A value of batteryDepleted indicates that the UPS will be unable to sustain the present load when and if the utility power is lost (including the possibility that the utility power is currently absent and the UPS is unable to sustain the output).
UPS-MIB;upsSecondsOnBattery;0;1.3.6.1.2.1.33.1.2.2.0;NonNegativeInteger;battery.seconds;Battery time in Seconds;s;;If the unit is on battery power, the elapsed time since the UPS last switched to battery power, or the time since the network management subsystem was last restarted, whichever is less. Zero shall be returned if the unit is not on battery power.
