snmp_mib;snmp_label;snmp_index;snmp_oid;snmp_datatype;keypart;name;units;units_factor;description
IF-MIB;ifOutOctets;7;1.3.6.1.2.1.2.2.1.16.7;Counter32;port7.out;Port 7 out octets;B;;The total number of octets transmitted out of the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutOctets;8;1.3.6.1.2.1.2.2.1.16.8;Counter32;port8.out;Port 8 out octets;B;;The total number of octets transmitted out of the interface, including framing characters. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInErrors;1;1.3.6.1.2.1.2.2.1.14.1;Counter32;port1.in.err;Port 1 in Err;count;;For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol. For character- oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInErrors;2;1.3.6.1.2.1.2.2.1.14.2;Counter32;port2.in.err;Port 2 in Err;count;;For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol. For character- oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInErrors;3;1.3.6.1.2.1.2.2.1.14.3;Counter32;port3.in.err;Port 3 in Err;count;;For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol. For character- oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInErrors;4;1.3.6.1.2.1.2.2.1.14.4;Counter32;port4.in.err;Port 4 in Err;count;;For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol. For character- oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInErrors;5;1.3.6.1.2.1.2.2.1.14.5;Counter32;port5.in.err;Port 5 in Err;count;;For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol. For character- oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInErrors;6;1.3.6.1.2.1.2.2.1.14.6;Counter32;port6.in.err;Port 6 in Err;count;;For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol. For character- oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInErrors;7;1.3.6.1.2.1.2.2.1.14.7;Counter32;port7.in.err;Port 7 in Err;count;;For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol. For character- oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifInErrors;8;1.3.6.1.2.1.2.2.1.14.8;Counter32;port8.in.err;Port 8 in Err;count;;For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol. For character- oriented or fixed-length interfaces, the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutErrors;1;1.3.6.1.2.1.2.2.1.20.1;Counter32;port1.out.err;Port 1 out Err;count;;For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutErrors;2;1.3.6.1.2.1.2.2.1.20.2;Counter32;port2.out.err;Port 2 out Err;count;;For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutErrors;3;1.3.6.1.2.1.2.2.1.20.3;Counter32;port3.out.err;Port 3 out Err;count;;For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutErrors;4;1.3.6.1.2.1.2.2.1.20.4;Counter32;port4.out.err;Port 4 out Err;count;;For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutErrors;5;1.3.6.1.2.1.2.2.1.20.5;Counter32;port5.out.err;Port 5 out Err;count;;For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutErrors;6;1.3.6.1.2.1.2.2.1.20.6;Counter32;port6.out.err;Port 6 out Err;count;;For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutErrors;7;1.3.6.1.2.1.2.2.1.20.7;Counter32;port7.out.err;Port 7 out Err;count;;For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
IF-MIB;ifOutErrors;8;1.3.6.1.2.1.2.2.1.20.8;Counter32;port8.out.err;Port 8 out Err;count;;For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors. For character-oriented or fixed-length interfaces, the number of outbound transmission units that could not be transmitted because of errors. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by the value of ifCounterDiscontinuityTime.
UDP-MIB;udpInDatagrams;0;1.3.6.1.2.1.7.1.0;Counter32;sys.udp.in;System UDP Incoming datagrams;count;;The total number of UDP datagrams delivered to UDP users. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by discontinuities in the value of sysUpTime.
UDP-MIB;udpNoPorts;0;1.3.6.1.2.1.7.2.0;Counter32;sys.udp.numport;System UDP number ports;count;;The total number of received UDP datagrams for which there was no application at the destination port. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by discontinuities in the value of sysUpTime.
UDP-MIB;udpInErrors;0;1.3.6.1.2.1.7.3.0;Counter32;sys.udp.in.err;System UDP Incoming errors;count;;The number of received UDP datagrams that could not be delivered for reasons other than the lack of an application at the destination port. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by discontinuities in the value of sysUpTime.
UDP-MIB;udpOutDatagrams;0;1.3.6.1.2.1.7.4.0;Counter32;sys.udp.out;System UDP outgoing datagrams;count;;The total number of UDP datagrams sent from this entity. Discontinuities in the value of this counter can occur at re-initialization of the management system, and at other times as indicated by discontinuities in the value of sysUpTime.
SNMPv2-MIB;snmpInPkts;0;1.3.6.1.2.1.11.1.0;Counter32;sys.snmp.in;Incoming SNMP packets;count;;The total number of messages delivered to the SNMP entity from the transport service.
SNMPv2-MIB;snmpOutPkts;0;1.3.6.1.2.1.11.2.0;Counter32;sys.snmp.out;Outgoing SNMP packets;count;;The total number of SNMP Messages which were passed from the SNMP protocol entity to the transport service.
