snmp_mib;snmp_label;snmp_index;snmp_oid;snmp_datatype;keypart;name;units;units_factor;description
BACS2-MIB;bacsTemperatureHighWarn;0;1.3.6.1.2.1.33.5.1.17.0;Integer32;set.warn.temp.high;Temperature high warning limit;Cel;1/10;Temperature warning above this level.
BACS2-MIB;bacsVoltageLowWarn;0;1.3.6.1.2.1.33.5.1.18.0;PositiveInteger;set.warn.voltage.low;Voltage low warning limit;V;1/100;Voltage warning below this level.
BACS2-MIB;bacsVoltageHighWarn;0;1.3.6.1.2.1.33.5.1.19.0;PositiveInteger;set.warn.voltage.high;Voltage high warning limit;V;1/100;Voltage warning above this level.
BACS2-MIB;bacsStringTotalVolt;0;1.3.6.1.2.1.33.5.2.7.1.3.0;PositiveInteger;string.0.total.volt;String 0 Total Voltage;V;1/100;The string total voltage.
BACS2-MIB;bacsStringTotalVolt;1;1.3.6.1.2.1.33.5.2.7.1.3.1;PositiveInteger;string.1.total.volt;String 1 Total Voltage;V;1/100;The string total voltage.
BACS2-MIB;bacsStringAverageVolt;0;1.3.6.1.2.1.33.5.2.7.1.4.0;PositiveInteger;string.0.volt.avg;String 0 Average per battery volt;V;1/100;The string average voltage per battery.
BACS2-MIB;bacsStringAverageVolt;1;1.3.6.1.2.1.33.5.2.7.1.4.1;PositiveInteger;string.1.volt.avg;String 1 Average per battery volt;V;1/100;The string average voltage per battery.
BACS2-MIB;bacsModuleVoltage;0;1.3.6.1.2.1.33.5.2.5.1.2.0;PositiveInteger;mod.0.voltage;Module 0 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;1;1.3.6.1.2.1.33.5.2.5.1.2.1;PositiveInteger;mod.1.voltage;Module 1 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;2;1.3.6.1.2.1.33.5.2.5.1.2.2;PositiveInteger;mod.2.voltage;Module 2 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;3;1.3.6.1.2.1.33.5.2.5.1.2.3;PositiveInteger;mod.3.voltage;Module 3 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;4;1.3.6.1.2.1.33.5.2.5.1.2.4;PositiveInteger;mod.4.voltage;Module 4 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;5;1.3.6.1.2.1.33.5.2.5.1.2.5;PositiveInteger;mod.5.voltage;Module 5 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;6;1.3.6.1.2.1.33.5.2.5.1.2.6;PositiveInteger;mod.6.voltage;Module 6 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;7;1.3.6.1.2.1.33.5.2.5.1.2.7;PositiveInteger;mod.7.voltage;Module 7 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;8;1.3.6.1.2.1.33.5.2.5.1.2.8;PositiveInteger;mod.8.voltage;Module 8 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;9;1.3.6.1.2.1.33.5.2.5.1.2.9;PositiveInteger;mod.9.voltage;Module 9 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;10;1.3.6.1.2.1.33.5.2.5.1.2.10;PositiveInteger;mod.10.voltage;Module 10 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;11;1.3.6.1.2.1.33.5.2.5.1.2.11;PositiveInteger;mod.11.voltage;Module 11 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;12;1.3.6.1.2.1.33.5.2.5.1.2.12;PositiveInteger;mod.12.voltage;Module 12 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;13;1.3.6.1.2.1.33.5.2.5.1.2.13;PositiveInteger;mod.13.voltage;Module 13 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;14;1.3.6.1.2.1.33.5.2.5.1.2.14;PositiveInteger;mod.14.voltage;Module 14 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;15;1.3.6.1.2.1.33.5.2.5.1.2.15;PositiveInteger;mod.15.voltage;Module 15 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;16;1.3.6.1.2.1.33.5.2.5.1.2.16;PositiveInteger;mod.16.voltage;Module 16 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;17;1.3.6.1.2.1.33.5.2.5.1.2.17;PositiveInteger;mod.17.voltage;Module 17 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;18;1.3.6.1.2.1.33.5.2.5.1.2.18;PositiveInteger;mod.18.voltage;Module 18 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;19;1.3.6.1.2.1.33.5.2.5.1.2.19;PositiveInteger;mod.19.voltage;Module 19 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;20;1.3.6.1.2.1.33.5.2.5.1.2.20;PositiveInteger;mod.20.voltage;Module 20 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;21;1.3.6.1.2.1.33.5.2.5.1.2.21;PositiveInteger;mod.21.voltage;Module 21 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;22;1.3.6.1.2.1.33.5.2.5.1.2.22;PositiveInteger;mod.22.voltage;Module 22 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;23;1.3.6.1.2.1.33.5.2.5.1.2.23;PositiveInteger;mod.23.voltage;Module 23 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;24;1.3.6.1.2.1.33.5.2.5.1.2.24;PositiveInteger;mod.24.voltage;Module 24 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;25;1.3.6.1.2.1.33.5.2.5.1.2.25;PositiveInteger;mod.25.voltage;Module 25 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;26;1.3.6.1.2.1.33.5.2.5.1.2.26;PositiveInteger;mod.26.voltage;Module 26 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;27;1.3.6.1.2.1.33.5.2.5.1.2.27;PositiveInteger;mod.27.voltage;Module 27 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;28;1.3.6.1.2.1.33.5.2.5.1.2.28;PositiveInteger;mod.28.voltage;Module 28 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;29;1.3.6.1.2.1.33.5.2.5.1.2.29;PositiveInteger;mod.29.voltage;Module 29 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;30;1.3.6.1.2.1.33.5.2.5.1.2.30;PositiveInteger;mod.30.voltage;Module 30 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;31;1.3.6.1.2.1.33.5.2.5.1.2.31;PositiveInteger;mod.31.voltage;Module 31 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;32;1.3.6.1.2.1.33.5.2.5.1.2.32;PositiveInteger;mod.32.voltage;Module 32 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;33;1.3.6.1.2.1.33.5.2.5.1.2.33;PositiveInteger;mod.33.voltage;Module 33 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;34;1.3.6.1.2.1.33.5.2.5.1.2.34;PositiveInteger;mod.34.voltage;Module 34 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;35;1.3.6.1.2.1.33.5.2.5.1.2.35;PositiveInteger;mod.35.voltage;Module 35 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;36;1.3.6.1.2.1.33.5.2.5.1.2.36;PositiveInteger;mod.36.voltage;Module 36 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;37;1.3.6.1.2.1.33.5.2.5.1.2.37;PositiveInteger;mod.37.voltage;Module 37 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;38;1.3.6.1.2.1.33.5.2.5.1.2.38;PositiveInteger;mod.38.voltage;Module 38 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;39;1.3.6.1.2.1.33.5.2.5.1.2.39;PositiveInteger;mod.39.voltage;Module 39 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;40;1.3.6.1.2.1.33.5.2.5.1.2.40;PositiveInteger;mod.40.voltage;Module 40 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;41;1.3.6.1.2.1.33.5.2.5.1.2.41;PositiveInteger;mod.41.voltage;Module 41 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;42;1.3.6.1.2.1.33.5.2.5.1.2.42;PositiveInteger;mod.42.voltage;Module 42 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;43;1.3.6.1.2.1.33.5.2.5.1.2.43;PositiveInteger;mod.43.voltage;Module 43 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;44;1.3.6.1.2.1.33.5.2.5.1.2.44;PositiveInteger;mod.44.voltage;Module 44 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;45;1.3.6.1.2.1.33.5.2.5.1.2.45;PositiveInteger;mod.45.voltage;Module 45 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;46;1.3.6.1.2.1.33.5.2.5.1.2.46;PositiveInteger;mod.46.voltage;Module 46 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;47;1.3.6.1.2.1.33.5.2.5.1.2.47;PositiveInteger;mod.47.voltage;Module 47 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;48;1.3.6.1.2.1.33.5.2.5.1.2.48;PositiveInteger;mod.48.voltage;Module 48 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;49;1.3.6.1.2.1.33.5.2.5.1.2.49;PositiveInteger;mod.49.voltage;Module 49 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;50;1.3.6.1.2.1.33.5.2.5.1.2.50;PositiveInteger;mod.50.voltage;Module 50 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;51;1.3.6.1.2.1.33.5.2.5.1.2.51;PositiveInteger;mod.51.voltage;Module 51 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;52;1.3.6.1.2.1.33.5.2.5.1.2.52;PositiveInteger;mod.52.voltage;Module 52 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;53;1.3.6.1.2.1.33.5.2.5.1.2.53;PositiveInteger;mod.53.voltage;Module 53 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;54;1.3.6.1.2.1.33.5.2.5.1.2.54;PositiveInteger;mod.54.voltage;Module 54 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;55;1.3.6.1.2.1.33.5.2.5.1.2.55;PositiveInteger;mod.55.voltage;Module 55 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;56;1.3.6.1.2.1.33.5.2.5.1.2.56;PositiveInteger;mod.56.voltage;Module 56 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;57;1.3.6.1.2.1.33.5.2.5.1.2.57;PositiveInteger;mod.57.voltage;Module 57 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;58;1.3.6.1.2.1.33.5.2.5.1.2.58;PositiveInteger;mod.58.voltage;Module 58 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;59;1.3.6.1.2.1.33.5.2.5.1.2.59;PositiveInteger;mod.59.voltage;Module 59 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;60;1.3.6.1.2.1.33.5.2.5.1.2.60;PositiveInteger;mod.60.voltage;Module 60 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;61;1.3.6.1.2.1.33.5.2.5.1.2.61;PositiveInteger;mod.61.voltage;Module 61 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;62;1.3.6.1.2.1.33.5.2.5.1.2.62;PositiveInteger;mod.62.voltage;Module 62 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;63;1.3.6.1.2.1.33.5.2.5.1.2.63;PositiveInteger;mod.63.voltage;Module 63 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;64;1.3.6.1.2.1.33.5.2.5.1.2.64;PositiveInteger;mod.64.voltage;Module 64 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;65;1.3.6.1.2.1.33.5.2.5.1.2.65;PositiveInteger;mod.65.voltage;Module 65 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;66;1.3.6.1.2.1.33.5.2.5.1.2.66;PositiveInteger;mod.66.voltage;Module 66 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;67;1.3.6.1.2.1.33.5.2.5.1.2.67;PositiveInteger;mod.67.voltage;Module 67 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;68;1.3.6.1.2.1.33.5.2.5.1.2.68;PositiveInteger;mod.68.voltage;Module 68 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;69;1.3.6.1.2.1.33.5.2.5.1.2.69;PositiveInteger;mod.69.voltage;Module 69 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;70;1.3.6.1.2.1.33.5.2.5.1.2.70;PositiveInteger;mod.70.voltage;Module 70 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;71;1.3.6.1.2.1.33.5.2.5.1.2.71;PositiveInteger;mod.71.voltage;Module 71 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;72;1.3.6.1.2.1.33.5.2.5.1.2.72;PositiveInteger;mod.72.voltage;Module 72 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;73;1.3.6.1.2.1.33.5.2.5.1.2.73;PositiveInteger;mod.73.voltage;Module 73 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;74;1.3.6.1.2.1.33.5.2.5.1.2.74;PositiveInteger;mod.74.voltage;Module 74 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;75;1.3.6.1.2.1.33.5.2.5.1.2.75;PositiveInteger;mod.75.voltage;Module 75 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;76;1.3.6.1.2.1.33.5.2.5.1.2.76;PositiveInteger;mod.76.voltage;Module 76 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;77;1.3.6.1.2.1.33.5.2.5.1.2.77;PositiveInteger;mod.77.voltage;Module 77 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;78;1.3.6.1.2.1.33.5.2.5.1.2.78;PositiveInteger;mod.78.voltage;Module 78 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;79;1.3.6.1.2.1.33.5.2.5.1.2.79;PositiveInteger;mod.79.voltage;Module 79 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;80;1.3.6.1.2.1.33.5.2.5.1.2.80;PositiveInteger;mod.80.voltage;Module 80 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;81;1.3.6.1.2.1.33.5.2.5.1.2.81;PositiveInteger;mod.81.voltage;Module 81 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;82;1.3.6.1.2.1.33.5.2.5.1.2.82;PositiveInteger;mod.82.voltage;Module 82 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;83;1.3.6.1.2.1.33.5.2.5.1.2.83;PositiveInteger;mod.83.voltage;Module 83 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;84;1.3.6.1.2.1.33.5.2.5.1.2.84;PositiveInteger;mod.84.voltage;Module 84 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;85;1.3.6.1.2.1.33.5.2.5.1.2.85;PositiveInteger;mod.85.voltage;Module 85 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;86;1.3.6.1.2.1.33.5.2.5.1.2.86;PositiveInteger;mod.86.voltage;Module 86 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;87;1.3.6.1.2.1.33.5.2.5.1.2.87;PositiveInteger;mod.87.voltage;Module 87 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;88;1.3.6.1.2.1.33.5.2.5.1.2.88;PositiveInteger;mod.88.voltage;Module 88 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;89;1.3.6.1.2.1.33.5.2.5.1.2.89;PositiveInteger;mod.89.voltage;Module 89 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;90;1.3.6.1.2.1.33.5.2.5.1.2.90;PositiveInteger;mod.90.voltage;Module 90 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;91;1.3.6.1.2.1.33.5.2.5.1.2.91;PositiveInteger;mod.91.voltage;Module 91 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;92;1.3.6.1.2.1.33.5.2.5.1.2.92;PositiveInteger;mod.92.voltage;Module 92 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;93;1.3.6.1.2.1.33.5.2.5.1.2.93;PositiveInteger;mod.93.voltage;Module 93 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;94;1.3.6.1.2.1.33.5.2.5.1.2.94;PositiveInteger;mod.94.voltage;Module 94 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;95;1.3.6.1.2.1.33.5.2.5.1.2.95;PositiveInteger;mod.95.voltage;Module 95 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;96;1.3.6.1.2.1.33.5.2.5.1.2.96;PositiveInteger;mod.96.voltage;Module 96 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;97;1.3.6.1.2.1.33.5.2.5.1.2.97;PositiveInteger;mod.97.voltage;Module 97 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;98;1.3.6.1.2.1.33.5.2.5.1.2.98;PositiveInteger;mod.98.voltage;Module 98 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleVoltage;99;1.3.6.1.2.1.33.5.2.5.1.2.99;PositiveInteger;mod.99.voltage;Module 99 voltage;V;1/100;The module voltage.
BACS2-MIB;bacsModuleTemperature;0;1.3.6.1.2.1.33.5.2.5.1.3.0;Integer32;mod.0.temp;Module 0 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;1;1.3.6.1.2.1.33.5.2.5.1.3.1;Integer32;mod.1.temp;Module 1 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;2;1.3.6.1.2.1.33.5.2.5.1.3.2;Integer32;mod.2.temp;Module 2 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;3;1.3.6.1.2.1.33.5.2.5.1.3.3;Integer32;mod.3.temp;Module 3 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;4;1.3.6.1.2.1.33.5.2.5.1.3.4;Integer32;mod.4.temp;Module 4 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;5;1.3.6.1.2.1.33.5.2.5.1.3.5;Integer32;mod.5.temp;Module 5 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;6;1.3.6.1.2.1.33.5.2.5.1.3.6;Integer32;mod.6.temp;Module 6 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;7;1.3.6.1.2.1.33.5.2.5.1.3.7;Integer32;mod.7.temp;Module 7 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;8;1.3.6.1.2.1.33.5.2.5.1.3.8;Integer32;mod.8.temp;Module 8 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;9;1.3.6.1.2.1.33.5.2.5.1.3.9;Integer32;mod.9.temp;Module 9 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;10;1.3.6.1.2.1.33.5.2.5.1.3.10;Integer32;mod.10.temp;Module 10 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;11;1.3.6.1.2.1.33.5.2.5.1.3.11;Integer32;mod.11.temp;Module 11 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;12;1.3.6.1.2.1.33.5.2.5.1.3.12;Integer32;mod.12.temp;Module 12 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;13;1.3.6.1.2.1.33.5.2.5.1.3.13;Integer32;mod.13.temp;Module 13 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;14;1.3.6.1.2.1.33.5.2.5.1.3.14;Integer32;mod.14.temp;Module 14 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;15;1.3.6.1.2.1.33.5.2.5.1.3.15;Integer32;mod.15.temp;Module 15 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;16;1.3.6.1.2.1.33.5.2.5.1.3.16;Integer32;mod.16.temp;Module 16 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;17;1.3.6.1.2.1.33.5.2.5.1.3.17;Integer32;mod.17.temp;Module 17 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;18;1.3.6.1.2.1.33.5.2.5.1.3.18;Integer32;mod.18.temp;Module 18 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;19;1.3.6.1.2.1.33.5.2.5.1.3.19;Integer32;mod.19.temp;Module 19 Temperature;Cel;1/10;The module temperature.
BACS2-MIB;bacsModuleTemperature;20;1.3.6.1.2.1.33.5.2.5.1.3.20;Integer32;mod.20.temp;Module 20 Temperature;Cel;1/10;The module temperature.
