sentence,Predicted,Expected,Result
felnok equals a number under 9665 and over 27984,"Value is_within(9665,2784)","Value is_within(9665,27984)",Fail
qoxavd mustn't be null,Value equals to null,VALUE not_equals to null,Fail
uhizre represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
gegheh can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
vyqbxm could be null.,Value equals to null,VALUE equals to null,Fail
xznjoe could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
qppqeo could be null.,Value equals to null,VALUE equals to null,Fail
hssrcb should contain something,Value not_equals to null,VALUE not_equals to null,Fail
pxptyp could be equal to blank,Value equals to null,VALUE equals to null,Fail
jonjcp field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
izvjlo mustn't be null,Value equals to null,VALUE not_equals to null,Fail
gteile cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
ewbjyv could not be null,Value equals to null,VALUE not_equals to null,Fail
cttfla is null.,Value equals to null,VALUE equals to null,Fail
ocmayo describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
chchaq can be a null,Value equals to null,VALUE equals to null,Fail
uwwlwa must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
fwriyk is expected to be null,Value equals to null,VALUE equals to null,Fail
dujqvz is empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
rjzvrj cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
nqsbcj can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
fvnkdr consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
essuxz number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
ujmcfp can be equal to empty,Value equals to null,VALUE equals to null,Fail
qqharf is null,Value equals to null,VALUE equals to null,Fail
cudgam can be equal to null,Value equals to null,VALUE equals to null,Fail
yeeusf can be a empty,Value equals to null,VALUE equals to null,Fail
mvpfgk has not some values.,Value not_equals to null,VALUE equals to null,Fail
wwmsnt mustn't be null,Value equals to null,VALUE not_equals to null,Fail
dmlmnr would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
immlmq is always NOT NULL,Value not_equals to null,VALUE not_equals to null,Fail
hdkwux is not blank,Value not_equals to null,VALUE not_equals to null,Fail
tcysih can be equal to blank,Value equals to null,VALUE equals to null,Fail
qckgcw would be null,Value equals to null,VALUE equals to null,Fail
yeeusf can be left blank,Value equals to null,VALUE equals to null,Fail
ybpbmv must be populated,Value equals to null,VALUE not_equals to null,Fail
uihpvq would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
"kdkrxb IS LONGER THAN three thousand, eight hundred and sixteen AND ALSO kdkrxb IS SMALL THAN forty-one thousand, five hundred and seventy-five","Value is_within(three thousand, eight hundred and sixteen)","Value is_within(3816,41575)",Fail
uxsvru equals a number under 781 and over 52192,"Value is_within(781,52192)","Value is_within(781,52192)",Pass
pqlsqp is required to be empty,Value equals to null,VALUE equals to null,Fail
tqmmju is expected to be empty,Value equals to null,VALUE equals to null,Fail
mtkktz must not be populated,Value not_equals to null,VALUE equals to null,Fail
wmejbu equals a number under 7065 and over 19793,Value is_within(7065 and 19793),"Value is_within(7065,19793)",Fail
hnlrfj is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
"mldsta is comprised between 651, excluded, and 39159","Value is_within(651,39159)","Value is_within(651,39159)",Pass
gddwvd consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
wcuiyy isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
crxxkr could be blank,Value equals to null,VALUE equals to null,Fail
ozqjwn mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
nphufv is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
gbwcey is more than 4761 and also gbwcey should not exceed 47197,"Value is_within(4761,47197)","Value is_within(4761,47197)",Pass
ozqjwn would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
"bfzabz is more than 5092 ,but less than 80251","Value is_within(5092,80251)","Value is_within(5092,80251)",Pass
gysibh could be less than 1145 and more than 87178,"Value is_within(1145,87178)","Value is_within(1145,87178)",Pass
ujdaqj can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
tcerft is expected to be not null,Value equals to null,VALUE not_equals to null,Fail
sqwvxz can be equal to blank,Value equals to null,VALUE equals to null,Fail
fglnac should contain something,Value not_equals to null,VALUE not_equals to null,Fail
ornjxz should be blank,Value equals to null,VALUE equals to null,Fail
xdgktm describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
yhqmws is not blank,Value not_equals to null,VALUE not_equals to null,Fail
"mepcsc must be greater than 204,but less than  357","Value is_within(204,357)","Value is_within(204,357)",Pass
glbibd would be blank,Value equals to null,VALUE equals to null,Fail
"ubqpbc should not be greater than 64604 ,but less than 6100","Value is_within(6100,66604)","Value is_within(6100,64604)",Fail
jeexkk is not null.,Value not_equals to null,VALUE not_equals to null,Fail
vsgvdc can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
uumbro cannot have any characters.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
"ppjyyn must be greater than 1728 ,but less than 60690","Value is_within(1728,60699)","Value is_within(1728,60690)",Fail
gbsptf would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
whvlyw must have a null loan number,Value equals to null,VALUE equals to null,Fail
qbbcsq canbe empty,Value equals to null,VALUE equals to null,Fail
yhqmws should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
dbwhlf should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
maizsi may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
wjyybf is not blank,Value not_equals to null,VALUE not_equals to null,Fail
"gvurhr should not be greater than 10546 ,but less than 5542","Value is_within(5542,10546)","Value is_within(5542,10546)",Pass
bvsdph could be blank,Value equals to null,VALUE equals to null,Fail
doaaun could be equal to blank,Value equals to null,VALUE equals to null,Fail
hctkzk can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
"yixxpv is greater than 7994,but less than 61625","Value is_within(7994,6125)","Value is_within(7994,61625)",Fail
kktlmy is always NULL,Value equals to null,VALUE equals to null,Fail
nszato cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
qjtclh must not be populated,Value not_equals to null,VALUE equals to null,Fail
gffaoa could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
ocmayo is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
"oopulf should not be greater than 93454 ,but less than 9866","Value is_within(9160,9354)","Value is_within(9866,93454)",Fail
iqlwbs can be in range 2197 to 30699,Value is_within(2197-30699),"Value is_within(2197,30699)",Fail
lagbzg number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
rmbzss depth must be null,Value equals to null,VALUE equals to null,Fail
ifxvnx is expected to be empty,Value equals to null,VALUE equals to null,Fail
kpzwxi is always NULL,Value equals to null,VALUE equals to null,Fail
qjqdta can be left empty,Value equals to null,VALUE equals to null,Fail
qjqdta number should be null.,Value equals to null,VALUE equals to null,Fail
"qperfo is comprised between 8080, excluded, and 30121","Value is_within(8080, 30121)","Value is_within(8080,30121)",Fail
chchaq can not have any characters.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
fecxsj should contain something,Value not_equals to null,VALUE not_equals to null,Fail
vjkcht is required to be null,Value equals to null,VALUE equals to null,Fail
diiblo canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
"plchsp must be greater than 8675 ,but less than 69632","Value is_within(8675,6662)","Value is_within(8675,69632)",Fail
nbesnw should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
cqomya is of value date,Value equals to null,VALUE is equal to DATE,Fail
"rswbfv must be greater than 2355 ,but less than 32134","Value is_within(2355,32134)","Value is_within(2355,32134)",Pass
sagfsf is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
ozobao is not empty,Value not_equals to null,VALUE not_equals to null,Fail
fwriyk must be blank,Value equals to null,VALUE equals to null,Fail
zwvifo is null,Value equals to null,VALUE equals to null,Fail
ztcjjo number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
hckzkr should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
vwzabc can be equal to blank,Value equals to null,VALUE equals to null,Fail
nszato is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
bcgrfy is expected to be null,Value equals to null,VALUE equals to null,Fail
qivpgv field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
jwfcga is blank,Value equals to null,VALUE equals to null,Fail
gffaoa cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
eichkl should be null,Value equals to null,VALUE equals to null,Fail
qoxavd could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
Lets say rpszsy cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
jujhfu should not contain something,Value not_equals to null,VALUE equals to null,Fail
hpnhvb is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
poujmk isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
qjtclh is empty,Value equals to null,VALUE equals to null,Fail
puudcc field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
tbwezw could be less than 3477 and more than 22091,"Value is_within(3477,22091)","Value is_within(3477,22091)",Pass
dyszjk mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
"cxodwl is comprised between 4903, excluded, and 10853","Value is_within(4903,10853)","Value is_within(4903,10853)",Pass
nqvdxd should be null,Value equals to null,VALUE equals to null,Fail
yzxfmo is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
itnowo should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
knbzdc would be empty,Value equals to null,VALUE equals to null,Fail
cspogb is empty,Value equals to null,VALUE equals to null,Fail
rcdpig should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
ijafwf can be a empty,Value equals to null,VALUE equals to null,Fail
dgghgw cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
"tmmuon must be greater than 621 ,but less than 59742","Value is_within(611,599742)","Value is_within(621,59742)",Fail
doaaun should be blank,Value equals to null,VALUE equals to null,Fail
zdypxi should be null,Value equals to null,VALUE equals to null,Fail
ylimmo is strictly greater than 1111 and strictly lower than 77217,"Value is_within(1111,7217)","Value is_within(1111,77217)",Fail
hlundq could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
aibnvi could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
kktlmy canbe empty,Value equals to null,VALUE equals to null,Fail
qirwnn cannot be null,Value not_equals to null,VALUE equals to null,Fail
cttfla must be blank,Value equals to null,VALUE equals to null,Fail
namlei would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
ssnros should contain something,Value not_equals to null,VALUE not_equals to null,Fail
uhizre is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
paqxlh should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
vwzabc is null,Value equals to null,VALUE equals to null,Fail
pfcxzo cannot be null,Value equals to null,VALUE not_equals to null,Fail
kztndo depth must not be null,Value equals to null,VALUE not_equals to null,Fail
ssnros can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
paqxlh field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
tokyqo represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
grrbpo canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
bfngdt is expected to be not null,Value equals to null,VALUE not_equals to null,Fail
eiphzb canbe null.,Value equals to null,VALUE equals to null,Fail
fecxsj would not be null,Value equals to null,VALUE not_equals to null,Fail
uwyjvd is not a null,Value not_equals to null,VALUE not_equals to null,Fail
qcnzpt depth must not be null,Value equals to null,VALUE not_equals to null,Fail
niouhk canbe null.,VALUE is equal to NULL,VALUE equals to null,Fail
vzsiyx is empty,Value equals to null,VALUE equals to null,Fail
uumbro must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
nqsbcj has some values.,nqsbcj has some values.,VALUE not_equals to null,Fail
aaxpwu must have a non-null loan number,Value not_equals to null,VALUE not_equals to null,Fail
fqanqw could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
grrbpo canbe empty,Value equals to null,VALUE equals to null,Fail
ezmxfx might be in between 4763 to 89397,Value is_within(4763-89397),"Value is_within(4763,89397)",Fail
jgwkbv can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
iuuuya mustn't be null,Value equals to null,VALUE not_equals to null,Fail
ujmcfp canbe blank,Value equals to null,VALUE equals to null,Fail
nkykvc should not have a lithology description.,lithology not_equals to null,VALUE equals to null,Fail
aaifff cannot be empty.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
lnwmji equals a number under 4698 and over 89920,"Value is_within(4698,89920)","Value is_within(4698,89920)",Pass
gipopd might be in between 1775 to 19434,Value is_within(1775 to 19434),"Value is_within(1775,19434)",Fail
tltmcj could be less than 5849 and more than 86690,"Value is_within(5849,86690)","Value is_within(5849,86690)",Pass
"mepcsc is greater than 204,but less than 357","Value is_within(204,357)","Value is_within(204,357)",Pass
dmlmnr has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
"msnwpd must be greater than 6687,but less than  82737","Value is_within(6687,82737)","Value is_within(6687,82737)",Pass
foyeug could be blank,Value equals to null,VALUE equals to null,Fail
pcyeys is not null.,Value not_equals to null,VALUE not_equals to null,Fail
emsxoi has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
efagni cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
cotqbf would not be null,Value equals to null,VALUE not_equals to null,Fail
chchaq is blank,Value equals to null,VALUE equals to null,Fail
phgxnb is always NULL,Value equals to null,VALUE equals to null,Fail
mbyzrk can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
cfedip could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
djvmwd is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
"yixxpv should not be greater than 61625 ,but less than 7994","Value is_within(7994,6125)","Value is_within(7994,61625)",Fail
dyszjk is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
nvdbmh can not be equal to null,Value not_equals to null,VALUE not_equals to null,Fail
tcvpjy could be null.,Value equals to null,VALUE equals to null,Fail
omaama could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
ornjxz can be equal to blank,Value equals to null,VALUE equals to null,Fail
cllpbc is with in 6552 to 32240,Value equals to 32240,"Value is_within(6552,32240)",Fail
upieyx would be blank,Value equals to null,VALUE equals to null,Fail
szuruk consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
jrictu is empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
dgghgw is not null.,Value not_equals to null,VALUE not_equals to null,Fail
dxlywc isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
brzgga is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
hjzbcn should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
zgmrem cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
cwsymi can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
wznuru can be left blank,Value equals to null,VALUE equals to null,Fail
szohnf would be blank,Value equals to null,VALUE equals to null,Fail
dxplvs is not null,Value equals to null,VALUE not_equals to null,Fail
orqijl represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
hernzo represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
suwugi is blank,Value equals to null,VALUE equals to null,Fail
"zjpqlv IS LONGER THAN five thousand, three hundred and two AND ALSO zjpqlv IS SMALL THAN forty-one thousand, one hundred and ninety-seven","zjpqlv IS LONGER THAN five thousand, three hundred and two AND ALSO zjpqlv IS SMALLER THAN forty-one thousand, one hundred ninety-seven","Value is_within(5302,41197)",Fail
upieyx is a null,Value equals to null,VALUE equals to null,Fail
czaqas should not be empty,Value not_equal to null,VALUE not_equals to null,Fail
"xjhcxl is greater than 5773,but less than 769","Value is_within(5773,699)","Value is_within(769,5773)",Fail
tcqoeu can be equal to blank,Value equals to null,VALUE equals to null,Fail
xwdnnk consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
bftlgn should be empty,Value equals to null,VALUE equals to null,Fail
afoqgb is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
"zvslkj must be greater than 697 ,but less than 49880","Value is_within(697,49880)","Value is_within(697,49880)",Pass
ybytjp would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
kwrtws shall be found somewhere between 3143 and 47973,Value is_within(4343 -497973),"Value is_within(3143,47973)",Fail
itpgqd cannot be null,Value not_equals to null,VALUE equals to null,Fail
bfngdt can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
"kkelcd must be greater than 7493 ,but less than 22026","Value is_within(7493,22026)","Value is_within(7493,22026)",Pass
oapnqm is always NOT NULL,Value not_equals to null,VALUE not_equals to null,Fail
qjbzla is empty.,Value equals to null,VALUE equals to null,Fail
lcvxqv is required to be null,Value equals to null,VALUE equals to null,Fail
lgfnct is required to be null,Value equals to null,VALUE equals to null,Fail
pqqqhe depth must be null,not_equals to null,VALUE equals to null,Fail
sirtsl cannot be empty.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
zipxpv must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
yblyal equals a number under 2003 and over 96906,"Value is_within(2003,9606)","Value is_within(2003,96906)",Fail
jpkatl can be in range 7352 to 77573,Value is_within(7352-77573),"Value is_within(7352,77573)",Fail
vnpkga can not be equal to null,Value not_equals to null,VALUE not_equals to null,Fail
"jjzvhz should not be greater than 47240 ,but less than 170","Value is_within(170,47240)","Value is_within(170,47240)",Pass
xnwgmn can be left empty,Value equals to null,VALUE equals to null,Fail
wznuru could be empty,Value equals to null,VALUE equals to null,Fail
krumex is empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
dbhcud could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
jwaeqj cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
xzvogz can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
vymkkg cannot be empty.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
pcyeys is not a null,Value not_equals to null,VALUE not_equals to null,Fail
vgxrfb should contain something,Value not_equals to null,VALUE not_equals to null,Fail
rjzvrj is always NOT NULL,Value not_equals to null,VALUE not_equals to null,Fail
isweno can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
gzrpmw could be equal to blank,Value equals to null,VALUE equals to null,Fail
uihpvq depth must not be null,Value equals to null,VALUE not_equals to null,Fail
wicrph is a null,Value equals to null,VALUE equals to null,Fail
xzrlfc can not have any characters.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
ibrzch depth must not be null,Value equals to null,VALUE not_equals to null,Fail
chchaq canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
tihxkf cannot be empty.,Value not_equals to null,VALUE not_equals to null,Fail
tubrig can be a empty,Value equals to null,VALUE equals to null,Fail
asinhm consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
tasdva is with in 3310 to 80887,"Value is_within(3108,8087)","Value is_within(3310,80887)",Fail
jupcfg shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
jxpwjz is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
uwyjvd is not null.,Value not_equals to null,VALUE not_equals to null,Fail
uwwlwa canbe empty,Value equals to null,VALUE equals to null,Fail
